trust_name,region,avg_4hr_performance,total_12hr_waits
Mid Cheshire Hospitals NHS Foundation Trust,NHS England North West ,43.6,36469
Nottingham University Hospitals NHS Trust,NHS England Midlands ,44.4,107731
Hull University Teaching Hospitals NHS Trust,NHS England North East And Yorkshire ,44.5,72216
The Shrewsbury And Telford Hospital NHS Trust,NHS England Midlands ,44.5,66159
University Hospitals Plymouth NHS Trust,NHS England South West ,45,56568
Wirral University Teaching Hospital NHS Foundation Trust,NHS England North West ,46.3,47116
North Tees And Hartlepool NHS Foundation Trust,NHS England North East And Yorkshire ,46.7,54182
Chesterfield Royal Hospital NHS Foundation Trust,NHS England Midlands ,46.9,28898
Kingston And Richmond NHS Foundation Trust,NHS England London,47.3,39131
"Wrightington, Wigan And Leigh Teaching Hospitals NHS Foundation Trust",NHS England North West ,47.3,7314
